Date,Price,Open,High,Low,Vol.,Change %
01/01/2023,34086.04,33148.9,34342.32,32812.33,6.82B,2.83%
12/01/2022,33147.25,34533.59,34712.28,32573.43,6.98B,-4.17%
11/01/2022,34589.77,32862.79,34589.77,31727.05,7.30B,5.67%
10/01/2022,32732.95,28855.25,32889.81,28660.94,7.82B,13.95%
09/01/2022,28725.51,31454.58,32504.04,28715.85,7.84B,-8.84%
08/01/2022,31510.43,32755.71,34281.36,31509.59,7.02B,-4.06%
07/01/2022,32845.13,30737.77,32910.18,30143.93,6.44B,6.73%
06/01/2022,30775.43,33156.31,33272.34,29653.29,7.71B,-6.71%
05/01/2022,32990.12,32978.49,34117.74,30635.76,8.98B,0.04%
04/01/2022,32977.21,34740.89,35492.22,32913.15,7.22B,-4.91%
03/01/2022,34678.35,33813.48,35372.26,32578.73,9.22B,2.32%
02/01/2022,33892.6,35151.47,35824.28,32272.64,7.36B,-3.53%
01/01/2022,35131.86,36321.59,36952.65,33150.33,8.90B,-3.32%
12/01/2021,36338.3,34678.94,36679.44,34006.98,8.41B,5.38%
11/01/2021,34483.72,35833.65,36565.73,34424.44,7.23B,-3.73%
10/01/2021,35819.56,33930.7,35892.92,33785.54,6.77B,5.84%
09/01/2021,33843.92,35387.55,35475.4,33613.03,6.66B,-4.29%
08/01/2021,35360.73,34968.56,35631.19,34690.25,5.66B,1.22%
07/01/2021,34935.47,34507.32,35171.52,33741.76,6.71B,1.25%
06/01/2021,34502.51,34584.19,34849.32,33271.93,6.83B,-0.08%
05/01/2021,34529.45,33904.89,35091.56,33473.8,6.61B,1.93%
04/01/2021,33874.85,33054.58,34256.75,32985.35,6.89B,2.71%
03/01/2021,32981.55,31065.9,33259,30547.53,9.79B,6.62%
02/01/2021,30932.37,30054.73,32009.64,30014.97,6.77B,3.17%
01/01/2021,29982.62,30627.47,31272.22,29856.3,8.22B,-2.04%
12/01/2020,30606.48,29797.5,30637.47,29599.29,8.18B,3.27%
11/01/2020,29638.64,26691.28,30116.51,26691.28,7.92B,11.84%
10/01/2020,26501.6,27940.63,28957.9,26143.77,8.51B,-4.61%
09/01/2020,27781.7,28439.61,29199.35,26537.01,10.05B,-2.28%
08/01/2020,28430.05,26542.32,28733.35,26534.38,7.51B,7.57%
07/01/2020,26428.32,25879.38,27071.33,25523.51,8.27B,2.38%
06/01/2020,25812.88,25342.99,27580.21,24843.18,9.82B,1.69%
05/01/2020,25383.11,24120.78,25758.79,22789.62,8.01B,4.26%
04/01/2020,24345.72,21227.38,24764.77,20735.02,9.88B,11.08%
03/01/2020,21917.16,25590.51,27102.34,18213.65,15.60B,-13.74%
02/01/2020,25409.36,28319.65,29568.57,24681.01,7.05B,-10.07%
01/01/2020,28256.03,28638.97,29373.62,28169.53,6.27B,-0.99%
12/01/2019,28538.44,28109.74,28701.66,27325.13,5.14B,1.74%
11/01/2019,28051.41,27142.95,28174.97,27142.95,4.98B,3.72%
10/01/2019,27046.23,26962.54,27204.36,25743.46,5.72B,0.48%
09/01/2019,26916.83,26198.26,27306.73,25978.22,5.09B,1.95%
08/01/2019,26403.28,26879.86,27175.59,25339.6,6.24B,-1.72%
07/01/2019,26864.27,26805.86,27398.68,26616.21,5.27B,0.99%
